year_month,avg_temp,minimum_temp,maximum_temp,snow_day,rainy_day
Jan-54,-1.5,-11.9,10.7,11,10
Feb-54,0.4,-13.9,12.2,1,8
Mar-54,3.1,-7.8,18.2,1,1
Apr-54,11.8,3,26.8,0,5
May-54,16.6,7.8,28.6,0,8
Jun-54,19.6,12.6,30.4,0,13
Jul-54,21.9,13.6,31.9,0,22
Aug-54,25.7,16.9,34.3,0,14
Sep-54,20.3,10.2,30,0,9
Oct-54,12.5,0.8,25,0,9
Nov-54,9.5,-2.4,19.1,0,4
Dec-54,-2.7,-12.5,10.9,4,7
Jan-55,-5.6,-17.2,5.4,12,8
Feb-55,-0.1,-14.3,15.1,4,2
Mar-55,4.4,-4.8,16.2,3,6
Apr-55,11.1,-2.5,25,0,11
May-55,15.9,8.2,29,0,10
Jun-55,21.4,11.2,33.8,0,11
Jul-55,24.5,17.9,32.8,0,19
Aug-55,26.2,18.6,35,0,5
Sep-55,20.7,11,32.3,0,8
Oct-55,12.6,1.3,27.3,0,8
Nov-55,5.9,-4.1,18.3,1,6
Dec-55,0.6,-9.7,12.9,5,8
Jan-56,-3.9,-15.7,8.7,13,7
Feb-56,-3.4,-13.1,7.2,8,5
Mar-56,3.7,-8.5,15.8,6,14
Apr-56,9.5,1.4,21.4,0,9
May-56,15.1,6.3,26.7,0,9
Jun-56,19.7,12.4,31.3,0,17
Jul-56,24.3,17.5,34.7,0,20
Aug-56,24.8,15.5,35,0,9
Sep-56,20.4,7.5,30.3,0,13
Oct-56,12.8,-1.1,24.9,0,4
Nov-56,3.2,-8.8,20.6,4,6
Dec-56,-5.2,-15.1,8.9,9,5
Jan-57,-3.5,-14.5,6.6,7,5
Feb-57,-4.3,-17.3,6.2,13,9
Mar-57,0,-9.5,13.8,8,9
Apr-57,10.4,-2.7,26.3,0,10
May-57,16.9,8,29.8,0,7
Jun-57,20.1,11.8,32.5,0,10
Jul-57,22.4,17.8,31,0,26
Aug-57,24.1,16,33.5,0,14
Sep-57,18.9,6.6,29,0,4
Oct-57,12.5,-0.4,27.2,0,7
Nov-57,8.3,-5.8,17.5,0,4
Dec-57,-0.5,-10.6,9.6,10,9
Jan-58,-6,-18.2,8.6,12,10
Feb-58,-0.8,-12.4,14.1,5,6
Mar-58,3.7,-11.2,21.5,5,8
Apr-58,10.8,1.3,27.3,0,10
May-58,16.3,7.3,29.9,0,6
Jun-58,22.2,13.2,37.2,0,7
Jul-58,25.6,19.4,34.4,0,15
Aug-58,23.8,16.2,33.2,0,11
Sep-58,19.8,6.6,28.8,0,11
Oct-58,12.7,-1.8,25,0,13
Nov-58,6.7,-3.3,18.9,1,8
Dec-58,4,-3.2,12.1,6,9
Jan-59,-5.1,-19.8,9.8,7,5
Feb-59,2.4,-8,13.7,5,9
Mar-59,6,-5,18.2,2,12
Apr-59,10.2,2,24.2,0,8
May-59,17.9,9.6,27.6,0,8
Jun-59,20.4,11.8,31.8,0,14
Jul-59,24.4,18.7,33.6,0,18
Aug-59,25.8,18.8,36.2,0,13
Sep-59,20.8,12.4,30.2,0,12
Oct-59,14.8,1.9,27.3,0,7
Nov-59,5.8,-5.5,19.5,0,10
Dec-59,1.1,-12.9,14.3,6,9
Jan-60,-3.3,-17,10.8,16,8
Feb-60,1.7,-8.6,13.7,4,4
Mar-60,6.7,-5.8,18.1,0,10
Apr-60,10.6,-0.9,25.3,0,9
May-60,16.5,6.4,30.2,0,11
Jun-60,20.6,12.7,31.7,0,12
Jul-60,24.8,18.6,32.4,0,14
Aug-60,26.2,17.7,34.4,0,11
Sep-60,20.8,12.3,31.3,0,10
Oct-60,15.1,5.4,25.7,0,2
Nov-60,7.1,-11.2,18,4,9
Dec-60,-1.8,-16,11.6,10,7
Jan-61,-5.2,-16.5,5.2,12,9
Feb-61,-0.9,-14.2,12.7,7,6
Mar-61,5.4,-4.9,17,3,6
Apr-61,11.7,0.7,25,0,6
May-61,17.3,4.2,30.1,0,8
Jun-61,21.9,13.5,31.2,0,18
Jul-61,26.2,21.4,34.4,0,19
Aug-61,26.8,20.8,35.3,0,17
Sep-61,21.5,10.4,31.7,0,13
Oct-61,15.6,3.3,25.8,0,6
Nov-61,8.9,-3.5,20.4,2,10
Dec-61,-0.6,-12.5,13,8,14
Jan-62,-3.4,-11.3,7.9,13,4
Feb-62,-0.7,-10.9,12.5,8,4
Mar-62,3.2,-6,18.2,7,8
Apr-62,10,-3.8,23.8,1,10
May-62,17.6,7.3,30.7,0,4
Jun-62,21.1,11.2,32.4,0,10
Jul-62,26.1,17.2,35,0,14
Aug-62,25.1,19.7,33.1,0,17
Sep-62,20.3,8.5,29.8,0,13
Oct-62,13.6,1.5,25.6,0,6
Nov-62,6.4,-7.7,20.8,3,11
Dec-62,1.1,-11.5,12.5,9,8
Jan-63,-9.1,-18.4,1.6,11,5
Feb-63,-2.4,-12.6,8.2,7,3
Mar-63,5.5,-3.2,19.2,4,5
Apr-63,11.4,0.6,22.8,1,17
May-63,16.9,7.8,29.4,0,12
Jun-63,21.2,11.9,30.1,0,13
Jul-63,24.5,18.8,33.1,0,18
Aug-63,25.7,19.2,33.7,0,13
Sep-63,20.5,10.4,30.2,0,7
Oct-63,13.5,2,24.4,0,4
Nov-63,6.5,-7.2,20.5,2,10
Dec-63,0.8,-13.2,12.2,6,7
Jan-64,-0.1,-8.2,10,7,7
Feb-64,-3.5,-16.2,6.5,9,6
Mar-64,3.8,-3.4,17.7,5,6
Apr-64,14.1,0.7,25.4,0,16
May-64,18.6,8.7,29.2,0,6
Jun-64,21.6,13.8,33.4,0,13
Jul-64,24.7,19,33.6,0,18
Aug-64,26.3,19.2,34.5,0,15
Sep-64,20.3,11,30,0,14
Oct-64,13.8,1.1,25.9,0,6
Nov-64,6.3,-6,15.6,1,6
Dec-64,0.2,-10.6,12.2,10,4
Jan-65,-4.2,-18.1,7.4,13,9
Feb-65,-1.2,-13.6,10.4,7,5
Mar-65,2.7,-7.4,15.3,3,4
Apr-65,10.3,-1.3,27,0,4
May-65,17.3,7.5,31,0,7
Jun-65,22.1,13.8,34.6,0,5
Jul-65,24.1,18.4,35.2,0,18
Aug-65,24.4,19,31,0,17
Sep-65,20.9,10,31,0,4
Oct-65,14.8,4.2,29.2,0,3
Nov-65,7,-5.8,20.8,3,14
Dec-65,-2,-18.2,12.6,8,4
Jan-66,-4.6,-18,8.8,6,3
Feb-66,0.1,-13.6,11.8,4,4
Mar-66,4.8,-3.4,14,5,11
Apr-66,11.8,0.2,26.4,0,6
May-66,18.3,6.6,31.6,0,4
Jun-66,20.5,9.7,29.8,0,11
Jul-66,23.6,15.2,31.4,0,21
Aug-66,26.7,18,34.7,0,11
Sep-66,19.7,10.4,28.4,0,10
Oct-66,14.4,0.4,26,1,12
Nov-66,5.9,-10.7,20.6,3,11
Dec-66,-3,-15.2,10.6,10,4
Jan-67,-4.4,-18.4,10.1,9,5
Feb-67,-2.4,-12,13.3,8,7
Mar-67,4.8,-6.1,15.9,2,8
Apr-67,11.8,1.1,25.2,0,8
May-67,19.3,9.4,29.1,0,5
Jun-67,21.3,13.6,29.7,0,14
Jul-67,25.5,17.6,35,0,17
Aug-67,26.7,21.5,33.6,0,17
Sep-67,20.7,11.4,31.4,0,11
Oct-67,14.5,4.8,23.7,0,5
Nov-67,6.5,-5.2,19.2,1,11
Dec-67,-4.9,-17.4,6.4,13,6
Jan-68,-4,-15.1,8.2,10,5
Feb-68,-4.4,-13.8,12,9,5
Mar-68,4.4,-6,16.8,1,5
Apr-68,12.6,3.1,23.9,0,5
May-68,17.2,9.6,28.2,0,7
Jun-68,21,10.6,31.9,0,7
Jul-68,24.7,18.3,34.2,0,15
Aug-68,24.9,15.5,34,0,11
Sep-68,20.9,8.7,31.4,0,7
Oct-68,13,3.3,27.4,0,8
Nov-68,7.6,-6.7,20.6,4,12
Dec-68,3.1,-11,17.7,3,6
Jan-69,-3.5,-15.2,10.7,12,11
Feb-69,-2.7,-15.9,10.7,11,11
Mar-69,2.9,-8.1,20.4,9,7
Apr-69,10.6,-0.2,23.3,1,14
May-69,16.4,6.2,26.4,0,13
Jun-69,20,11.9,32.3,0,6
Jul-69,24,16,32.3,0,21
Aug-69,24.8,18.5,32.9,0,17
Sep-69,20.8,12.9,30,0,12
Oct-69,13.9,3.2,24.4,0,4
Nov-69,5,-5.6,17.8,6,12
Dec-69,-2,-14.9,13.6,11,7
Jan-70,-4.8,-20.2,8.9,7,6
Feb-70,-0.2,-10.8,12,5,7
Mar-70,0.4,-7.3,16,12,7
Apr-70,12.2,0.8,26,0,6
May-70,18.7,10,29.8,0,7
Jun-70,20.5,13.4,30,0,14
Jul-70,23,15.2,32.2,0,20
Aug-70,25.9,20.1,35,0,14
Sep-70,21.2,7.9,31.2,0,16
Oct-70,14.9,0.5,25.6,0,6
Nov-70,5.7,-11.9,18.2,2,6
Dec-70,-1,-11.2,11.6,9,4
Jan-71,-2.4,-16.1,9.2,15,6
Feb-71,-0.7,-12.4,13.2,7,8
Mar-71,2,-11.6,20.2,9,6
Apr-71,11.2,0.6,24.1,0,5
May-71,16.6,7,31.2,0,13
Jun-71,21.6,13,30.4,0,14
Jul-71,23.9,18.6,32,0,24
Aug-71,24.6,15.9,33.2,0,11
Sep-71,20.6,9.7,29.6,0,6
Oct-71,13,2.5,24.1,0,4
Nov-71,8.7,-8.8,21.3,0,9
Dec-71,-1.2,-10,11.5,7,6
Jan-72,0.8,-9.1,13,9,10
Feb-72,-0.6,-9.6,8.4,10,7
Mar-72,5.3,-7.7,18,4,8
Apr-72,11.5,-4.3,23.5,0,9
May-72,16.4,6.4,26.2,0,9
Jun-72,21.7,13.7,30.7,0,6
Jul-72,25.7,17.5,35.6,0,11
Aug-72,23.1,15.8,32.1,0,17
Sep-72,19,9.5,27.2,0,15
Oct-72,13.8,0.5,26,0,11
Nov-72,5.2,-8.1,18.7,6,17
Dec-72,0.6,-12,12,6,7
Jan-73,0.4,-11.3,11.3,9,11
Feb-73,0.6,-9.4,14.4,3,4
Mar-73,4.5,-5.3,20.8,2,7
Apr-73,12.4,0.9,27.7,0,10
May-73,17.4,9.5,27.8,0,9
Jun-73,21.4,12.9,30.8,0,11
Jul-73,26.8,19.7,34.5,0,11
Aug-73,25.9,21.2,35.2,0,13
Sep-73,20.3,8.3,28.6,0,10
Oct-73,13,2.2,24.9,0,11
Nov-73,4.7,-7.1,16.9,4,11
Dec-73,-3,-17.4,10.8,14,10
Jan-74,-2.4,-15.5,9.3,5,3
Feb-74,-2.1,-14,9.9,6,7
Mar-74,3.7,-8,19.5,7,8
Apr-74,10.7,0.8,23.1,0,14
May-74,16.7,7,29.3,0,8
Jun-74,19.7,9.7,31.1,0,7
Jul-74,23.5,18.2,30.7,0,19
Aug-74,25.1,15.7,33.9,0,14
Sep-74,20.6,11.2,29.9,0,7
Oct-74,12.6,0,23.2,0,10
Nov-74,5.4,-4.8,20.3,3,3
Dec-74,-0.5,-10.2,10.3,11,9
Jan-75,-2.7,-11.8,7,7,6
Feb-75,-0.8,-9.7,10.6,9,5
Mar-75,4.4,-5,15.8,4,8
Apr-75,13.3,1.2,29,0,8
May-75,16.7,7.8,27.7,0,11
Jun-75,21.4,13.2,32.4,0,12
Jul-75,24.9,18.4,33.4,0,15
Aug-75,27,20.4,35.3,0,7
Sep-75,22.6,13.6,31.5,0,12
Oct-75,15.4,5.4,25.6,0,8
Nov-75,9,-6.4,20.7,0,11
Dec-75,-1.6,-10.8,14.8,5,4
Jan-76,-3.8,-16.3,8.5,12,7
Feb-76,2.8,-6.4,14.5,6,12
Mar-76,4.8,-6.6,15.2,2,6
Apr-76,11.3,0.1,25,0,6
May-76,16.7,5.5,32.2,0,8
Jun-76,21.3,13.7,34.8,0,7
Jul-76,23.1,12.9,33.5,0,12
Aug-76,23.7,16.4,32,0,20
Sep-76,19.9,11,30.2,0,9
Oct-76,13.7,-1.5,25.1,0,8
Nov-76,3.5,-6.3,19.4,7,9
Dec-76,0.4,-18.5,12.2,6,9
Jan-77,-6.7,-15.8,4.2,7,3
Feb-77,-2.4,-16.8,15,3,1
Mar-77,5.4,-11.5,22,3,4
Apr-77,12.5,2.4,26.7,1,11
May-77,17.4,6.8,29.3,0,5
Jun-77,22.5,13.7,34.6,0,8
Jul-77,26,18.3,35,0,12
Aug-77,24.6,17.1,33.3,0,7
Sep-77,21.5,8.8,31.1,0,6
Oct-77,16.7,5.6,28.8,0,4
Nov-77,7.6,-4.3,20.2,2,15
Dec-77,2.4,-9.4,13.7,5,10
Jan-78,-2.4,-13.3,7.4,10,7
Feb-78,-2.5,-16,11,9,5
Mar-78,4.2,-8.2,17.4,3,5
Apr-78,11.5,0.4,25,0,8
May-78,18.5,7.2,29.8,0,3
Jun-78,21.9,12.5,30.7,0,12
Jul-78,26.4,18.2,36.1,0,18
Aug-78,25.8,19.2,34.4,0,18
Sep-78,20.9,13.4,30.6,0,8
Oct-78,14.5,4.2,29.2,0,6
Nov-78,7.9,-5,18.2,1,4
Dec-78,1.6,-10.7,14.6,3,8
Jan-79,0.9,-10.9,13.4,10,7
Feb-79,0.6,-13,17.4,11,9
Mar-79,6,-4.1,18.4,1,6
Apr-79,11.2,0.4,23.8,0,11
May-79,16.5,8,29.1,0,8
Jun-79,21.4,14.4,28.9,0,19
Jul-79,24.3,17.5,32.2,0,12
Aug-79,25.4,16.2,32.6,0,10
Sep-79,20.1,8.9,29.7,0,9
Oct-79,15.9,2.9,26.3,0,3
Nov-79,5.7,-11.1,23.5,0,7
Dec-79,1.4,-10.7,11.7,5,8
Jan-80,-3.7,-15.9,8.9,13,11
Feb-80,-3.1,-14.5,12,4,7
Mar-80,5.2,-2.6,18.1,1,5
Apr-80,10.1,1.4,21,0,9
May-80,16.5,7.5,31.7,0,7
Jun-80,21.6,12.1,31.6,0,13
Jul-80,22.7,16.9,30.3,0,18
Aug-80,22.8,17.2,30.6,0,17
Sep-80,19.6,8.1,29,0,4
Oct-80,13,0,25.6,1,6
Nov-80,8.6,-1.7,19.8,1,5
Dec-80,-3.8,-16.2,12,12,9
Jan-81,-7,-16.5,1.3,8,5
Feb-81,-1.4,-15.6,11.7,8,5
Mar-81,5.7,-5.1,21.7,3,6
Apr-81,11.9,1.7,25.3,0,8
May-81,15.9,5.4,28.5,0,11
Jun-81,21.8,8.8,30.7,0,10
Jul-81,25.4,19.2,35.2,0,16
Aug-81,24.5,17.2,33,0,14
Sep-81,20,11.6,29,0,6
Oct-81,13.4,0.6,23.3,1,9
Nov-81,3.6,-7,13.6,3,7
Dec-81,0.1,-11,10.2,5,4
Jan-82,-3.5,-14.1,6.8,8,5
Feb-82,0.6,-11.8,12.3,1,2
Mar-82,5.9,-5.3,17,3,7
Apr-82,12.3,3.1,27.5,0,2
May-82,17.9,8,28.9,0,12
Jun-82,21.9,11.7,30.6,0,5
Jul-82,25.1,18.3,33.7,0,10
Aug-82,25.4,18.3,35.5,0,16
Sep-82,20.8,9.9,30.9,0,2
Oct-82,15.8,-1.1,28.2,0,4
Nov-82,7.9,-7.1,21.4,0,13
Dec-82,-0.1,-9.8,10.6,10,12
Jan-83,-1.7,-13.9,9.2,7,5
Feb-83,-1.7,-13.3,10.3,10,8
Mar-83,6.4,-3.6,18.9,2,7
Apr-83,13.6,0.8,26.7,1,12
May-83,18.5,7.3,29.9,0,5
Jun-83,22.2,13.4,32.6,0,5
Jul-83,23.6,18.4,30.9,0,17
Aug-83,26,17.8,34.3,0,13
Sep-83,22,11.9,31.5,0,12
Oct-83,14.2,2,23.7,0,10
Nov-83,6.7,-6,18.5,4,9
Dec-83,-1.1,-13.5,11.7,5,6
Jan-84,-5.9,-13.6,4.1,9,5
Feb-84,-3.5,-15.1,8,6,7
Mar-84,2.5,-6.5,14.2,12,9
Apr-84,12.1,0.1,23,0,9
May-84,18.2,7.7,28.1,0,5
Jun-84,22.6,14.7,34.2,0,12
Jul-84,25.2,19.2,34.7,0,16
Aug-84,26.3,18.9,35.2,0,14
Sep-84,20.1,10.1,28.7,0,9
Oct-84,13.8,1.2,25.7,0,7
Nov-84,8.1,-5.7,21.2,0,8
Dec-84,-0.9,-12.8,14.5,9,10
Jan-85,-5.9,-16.7,3.5,11,8
Feb-85,-0.3,-11,10.8,10,8
Mar-85,4.3,-8.2,19,2,4
Apr-85,11.6,0,24.8,0,8
May-85,18.1,9,29.6,0,9
Jun-85,22.1,14.2,31.9,0,8
Jul-85,25.3,18.7,35.4,0,14
Aug-85,26.3,18.5,34.3,0,18
Sep-85,20.2,10.1,30.1,0,14
Oct-85,14.7,4.4,25.7,0,6
Nov-85,5.6,-4.6,18.8,8,18
Dec-85,-3.4,-13.6,8.2,10,9
Jan-86,-5.4,-19.2,7.1,10,3
Feb-86,-3.3,-12.7,5.2,7,5
Mar-86,4.9,-5.4,18.6,3,6
Apr-86,11.9,1.6,24.3,0,6
May-86,17.1,8.5,27.5,0,11
Jun-86,21.9,13.8,32.4,0,13
Jul-86,23.5,15.4,31.7,0,20
Aug-86,24.5,18.2,32.8,0,17
Sep-86,19.9,10.2,31,0,7
Oct-86,12.7,-0.5,23.9,0,9
Nov-86,5.2,-5.7,16.2,2,8
Dec-86,1.9,-9.7,13.2,5,8
Jan-87,-3,-15.1,8.9,10,5
Feb-87,-0.1,-10.6,12.8,5,6
Mar-87,4,-7.6,17.5,1,10
Apr-87,10.8,0.4,24.7,0,8
May-87,17,5.8,29,0,9
Jun-87,22.4,12,31.6,0,10
Jul-87,23.7,18.3,31.2,0,16
Aug-87,24.4,18.4,31.6,0,17
Sep-87,20.1,6.3,28.6,0,4
Oct-87,15.5,2.6,27.3,0,6
